keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.1111111,-0.27314816,1,0,0,1.728075,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704056_left.png,stimuli/lakes/704056_right.png,,,,0,1,1,56,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.075000014,-0.24259266,1,0,0,1.87388,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/703029_left.png,stimuli/lakes/703029_right.png,,,,0,2,2,29,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.086111043,-0.24722229,1,0,0,2.12403,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/207099_left.png,stimuli/lakes/207099_right.png,,,,0,3,3,99,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.154629645,-0.335185254,1,0,0,2.08231,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,,,,0,4,4,62,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.120370385,-0.272222234,1,0,0,1.560795,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/406083_left.png,stimuli/lakes/406083_right.png,,,,0,5,5,83,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.160185201,-0.35740742,1,0,0,1.93648,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/304052_left.png,stimuli/lakes/304052_right.png,,,,0,6,6,52,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.145370359,-0.326851864,1,0,0,1.790755,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/806078_left.png,stimuli/lakes/806078_right.png,,,,0,7,7,78,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.073148136,-0.239814826,1,0,0,2.123655,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/407092_left.png,stimuli/lakes/407092_right.png,,,,0,8,8,92,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.183333349,-0.430555569,1,0,0,1.58149,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/202011_left.png,stimuli/lakes/202011_right.png,,,,0,9,9,11,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.173148137,-0.431481495,1,0,0,1.211445,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7080116_left.png,stimuli/lakes/7080116_right.png,,,,0,10,10,116,1,,,,,
