keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.180989583,-0.37109375,1,0,0,3.565765,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.188802083,-0.373697917,1,0,0,2.016895,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.153645833,-0.305989583,1,0,0,2.41573,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.169270833,-0.329427083,1,0,0,1.56649,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.005208333,-0.23046875,1,0,0,1.734705,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.19140625,-0.376302083,1,0,0,1.016415,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.190104167,-0.395833333,1,0,0,1.234265,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.19921875,-0.365885417,1,0,0,1.18275,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.177083333,-0.365885417,1,0,0,1.63298,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.1875,-0.399739583,1,0,0,1.299505,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.200520833,-0.40625,1,0,0,1.29975,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.186197917,-0.384114583,1,0,0,1.81433,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/403026_left.png,stimuli/lakes/403026_right.png,space,4.338525,,0,0,0,26,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.182291667,-0.390625,1,0,0,1.4665,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8070105_left.png,stimuli/lakes/8070105_right.png,,,,0,1,1,105,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.184895833,-0.401041667,1,0,0,1.34988,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/50104_left.png,stimuli/lakes/50104_right.png,,,,0,2,2,4,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.16796875,-0.329427083,1,0,0,2.06663,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/204042_left.png,stimuli/lakes/204042_right.png,,,,0,3,3,42,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.188802083,-0.395833333,1,0,0,1.402235,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6090127_left.png,stimuli/lakes/6090127_right.png,,,,0,4,4,127,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.149739583,-0.298177083,1,0,0,1.632065,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/506084_left.png,stimuli/lakes/506084_right.png,,,,0,5,5,84,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.015625,-0.239583333,1,0,0,1.533045,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/903031_left.png,stimuli/lakes/903031_right.png,,,,0,6,6,31,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.141927083,-0.3046875,1,0,0,1.982865,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/206081_left.png,stimuli/lakes/206081_right.png,,,,0,7,7,81,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.1796875,-0.337239583,1,0,0,1.69955,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/504045_left.png,stimuli/lakes/504045_right.png,,,,0,8,8,45,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.04296875,-0.2265625,1,0,0,2.38223,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090123_left.png,stimuli/lakes/4090123_right.png,,,,0,9,9,123,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.114583333,-0.26171875,1,0,0,2.08275,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/605066_left.png,stimuli/lakes/605066_right.png,,,,0,10,10,66,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.072916667,-0.24609375,1,0,0,1.932915,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/604055_left.png,stimuli/lakes/604055_right.png,,,,0,11,11,55,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.180989583,-0.393229167,1,0,0,1.332755,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30101_left.png,stimuli/lakes/30101_right.png,,,,0,12,12,1,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.11328125,-0.264322917,1,0,0,1.74981,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/506075_left.png,stimuli/lakes/506075_right.png,,,,0,13,13,75,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.190104167,-0.372395833,1,0,0,1.36661,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5090125_left.png,stimuli/lakes/5090125_right.png,,,,0,14,14,125,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.092447917,-0.255208333,1,0,0,2.149545,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/602018_left.png,stimuli/lakes/602018_right.png,,,,0,15,15,18,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.076822917,-0.2421875,1,0,0,1.69978,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/307091_left.png,stimuli/lakes/307091_right.png,,,,0,16,16,91,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.109375,-0.2578125,1,0,0,1.94983,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/507093_left.png,stimuli/lakes/507093_right.png,,,,0,17,17,93,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.1640625,-0.325520833,1,0,0,1.04978,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5070102_left.png,stimuli/lakes/5070102_right.png,,,,0,18,18,102,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.0625,-0.23828125,1,0,0,1.61594,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/406083_left.png,stimuli/lakes/406083_right.png,,,,0,19,19,83,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.153645833,-0.338541667,1,0,0,1.217985,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402014_left.png,stimuli/lakes/402014_right.png,,,,0,20,20,14,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.138020833,-0.31640625,1,0,0,1.11646,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/606085_left.png,stimuli/lakes/606085_right.png,,,,0,21,21,85,1,,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,0.158854167,-0.33984375,1,0,0,1.28309,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/303025_left.png,stimuli/lakes/303025_right.png,,,space,0,22,22,25,1,60.71012,,,,
,,,,,,$5b902fc6877eab0001d7b449,2020-07-21_17h09.24.642,fisher_task,2020.1.3,Win32,60,-0.010416667,-0.216145833,1,0,0,1.13292,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70107_left.png,stimuli/lakes/70107_right.png,,,,0,23,23,7,1,,,,,
