keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
space,7.994,0,0,0,0,1,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,1,0,1,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.141927083,-0.282552083,1,0,0,4.848,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.10546875,-0.243489583,1,0,0,3.565,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.1484375,-0.286458333,1,0,0,3.933,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.174479167,-0.325520833,1,0,0,2.649,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0,-0.190104167,1,0,0,4.282,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.197916667,-0.41015625,1,0,0,2.531,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.192708333,-0.3671875,1,0,0,2.633,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.12890625,-0.260416667,1,0,0,5.148,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.16015625,-0.287760417,1,0,0,2.432,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.197916667,-0.404947917,1,0,0,2.283,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.196614583,-0.39453125,1,0,0,1.813,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,0.001302083,-0.220052083,1,0,0,3.414,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/206081_left.png,stimuli/lakes/206081_right.png,space,7.126,,0,0,0,81,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.09375,-0.23828125,1,0,0,2.464,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/604055_left.png,stimuli/lakes/604055_right.png,,,,0,1,1,55,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.171875,-0.322916667,1,0,0,2.416,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/906079_left.png,stimuli/lakes/906079_right.png,,,,0,2,2,79,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.17578125,-0.325520833,1,0,0,2.082,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/607094_left.png,stimuli/lakes/607094_right.png,,,,0,3,3,94,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.083333333,-0.235677083,1,0,0,3.032,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080114_left.png,stimuli/lakes/6080114_right.png,,,,0,4,4,114,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.196614583,-0.4140625,1,0,0,1.715,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8080118_left.png,stimuli/lakes/8080118_right.png,,,,0,5,5,118,1,,,,,
,,,,,,,$6424985815,2020-07-12_15h51.08.727,fisher_task,2020.1.3,Linux x86_64,60,-0.092447917,-0.23828125,1,0,0,3.232,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/902022_left.png,stimuli/lakes/902022_right.png,,,,0,6,6,22,1,,,,,
