keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.020370288,-0.221296374,1,0,0,2.46309,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080114_left.png,stimuli/lakes/6080114_right.png,space,11.764665,,0,0,0,114,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.165740719,-0.332407489,1,0,0,2.064595,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705068_left.png,stimuli/lakes/705068_right.png,,,,0,1,1,68,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.185185217,-0.362963045,1,0,0,1.548515,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/403035_left.png,stimuli/lakes/403035_right.png,,,,0,2,2,35,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.135185216,-0.290740821,1,0,0,2.980015,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/504045_left.png,stimuli/lakes/504045_right.png,,,,0,3,3,45,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.200925905,-0.432407492,1,0,0,2.33073,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080115_left.png,stimuli/lakes/6080115_right.png,,,,0,4,4,115,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.194444477,-0.42129638,1,0,0,1.69737,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/203024_left.png,stimuli/lakes/203024_right.png,,,,0,5,5,24,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.192592625,-0.432407492,1,0,0,1.898765,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30101_left.png,stimuli/lakes/30101_right.png,,,,0,6,6,1,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.005555529,-0.212037058,1,0,0,4.82945,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70108_left.png,stimuli/lakes/70108_right.png,,,,0,7,7,8,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.192592625,-0.425000028,1,0,0,2.513795,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/302013_left.png,stimuli/lakes/302013_right.png,,,,0,8,8,13,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.193518551,-0.426851936,1,0,0,1.56502,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/302012_left.png,stimuli/lakes/302012_right.png,,,,0,9,9,12,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.055555584,-0.216666688,1,0,0,11.10706,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704047_left.png,stimuli/lakes/704047_right.png,,,,0,10,10,47,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.142592623,-0.279629709,1,0,0,6.0113,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,,,,0,11,11,62,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.171296275,-0.335185267,1,0,0,2.531845,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5080113_left.png,stimuli/lakes/5080113_right.png,,,,0,12,12,113,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.163888867,-0.302777802,1,0,0,11.922915,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/1080107_left.png,stimuli/lakes/1080107_right.png,,,,0,13,13,107,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.191666699,-0.38240749,1,0,0,4.095205,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/204042_left.png,stimuli/lakes/204042_right.png,,,,0,14,14,42,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.204629609,-0.407407491,1,0,0,2.913825,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/706077_left.png,stimuli/lakes/706077_right.png,,,,0,15,15,77,1,,,,,
