keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
space,2.35271,0,0,0,0,1,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,1,0,1,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.151851883,-0.38333336,1,0,0,2.03278,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.154629608,-0.395370397,1,0,0,1.799915,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.114814845,-0.308333357,1,0,0,1.715945,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.1472222,-0.352777803,1,0,0,1.36659,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.006481508,-0.26666669,1,0,0,2.29922,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.170370402,-0.415740825,1,0,0,1.333615,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.162036959,-0.42129638,1,0,0,0.96711,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.171296328,-0.391666693,1,0,0,1.415535,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.168518497,-0.429629714,1,0,0,1.1987,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.171296275,-0.412037064,1,0,0,1.46296,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.174074106,-0.426851936,1,0,0,1.08268,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.071296325,-0.264814838,1,0,0,2.481615,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70107_left.png,stimuli/lakes/70107_right.png,space,2.65241,,0,0,0,7,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.078703623,-0.273148171,1,0,0,1.59952,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/904058_left.png,stimuli/lakes/904058_right.png,,,,0,1,1,58,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.083333362,-0.273148171,1,0,0,1.73265,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/106080_left.png,stimuli/lakes/106080_right.png,,,,0,2,2,80,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.139814845,-0.333333358,1,0,0,1.249575,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/504054_left.png,stimuli/lakes/504054_right.png,,,,0,3,3,54,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.065740716,-0.281481505,1,0,0,1.682285,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/604046_left.png,stimuli/lakes/604046_right.png,,,,0,4,4,46,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.123148178,-0.33055558,1,0,0,1.116955,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/205060_left.png,stimuli/lakes/205060_right.png,,,,0,5,5,60,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.080555531,-0.281481505,1,0,0,1.83247,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804057_left.png,stimuli/lakes/804057_right.png,,,,0,6,6,57,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.152777809,-0.413888916,1,0,0,1.19899,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/502016_left.png,stimuli/lakes/502016_right.png,,,,0,7,7,16,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.001851935,-0.258333356,1,0,0,2.13225,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/2080108_left.png,stimuli/lakes/2080108_right.png,,,,0,8,8,108,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.127777755,-0.323148173,1,0,0,1.166225,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705067_left.png,stimuli/lakes/705067_right.png,,,,0,9,9,67,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.152777756,-0.353703729,1,0,0,0.850065,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7070104_left.png,stimuli/lakes/7070104_right.png,,,,0,10,10,104,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.099074051,-0.292592616,1,0,0,1.131895,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/805069_left.png,stimuli/lakes/805069_right.png,,,,0,11,11,69,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.005555582,-0.282407487,1,0,0,2.0168,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/207090_left.png,stimuli/lakes/207090_right.png,,,,0,12,12,90,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.160185163,-0.358333359,1,0,0,1.26721,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/806078_left.png,stimuli/lakes/806078_right.png,,,,0,13,13,78,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.133333311,-0.328703728,1,0,0,1.16581,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/606085_left.png,stimuli/lakes/606085_right.png,,,,0,14,14,85,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.171296328,-0.373148174,1,0,0,1.066965,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/403026_left.png,stimuli/lakes/403026_right.png,,,,0,15,15,26,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.012036954,-0.263888912,1,0,0,2.86679,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/903040_left.png,stimuli/lakes/903040_right.png,,,,0,16,16,40,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.079629606,-0.286111135,1,0,0,1.682405,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804048_left.png,stimuli/lakes/804048_right.png,,,,0,17,17,48,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.170370292,-0.424074158,1,0,0,1.412665,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/907097_left.png,stimuli/lakes/907097_right.png,,,,0,18,18,97,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.076851881,-0.256481504,1,0,0,1.783625,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/603028_left.png,stimuli/lakes/603028_right.png,,,,0,19,19,28,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.126851882,-0.321296377,1,0,0,1.082785,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/204051_left.png,stimuli/lakes/204051_right.png,,,,0,20,20,51,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.154629608,-0.424074158,1,0,0,1.09887,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/9070106_left.png,stimuli/lakes/9070106_right.png,,,,0,21,21,106,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.158333365,-0.399074157,1,0,0,1.799795,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/702019_left.png,stimuli/lakes/702019_right.png,,,space,0,22,22,19,1,2.373515,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.04722225,-0.267592615,1,0,0,1.31593,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,,,,0,23,23,62,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.149074052,-0.391666693,1,0,0,1.06593,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/806087_left.png,stimuli/lakes/806087_right.png,,,,0,24,24,87,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.018518602,-0.262963042,1,0,0,1.415795,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/406083_left.png,stimuli/lakes/406083_right.png,,,,0,25,25,83,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.150925957,-0.414814842,1,0,0,1.082725,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/40103_left.png,stimuli/lakes/40103_right.png,,,,0,26,26,3,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.165740719,-0.425925954,1,0,0,1.081725,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/906088_left.png,stimuli/lakes/906088_right.png,,,,0,27,27,88,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.153703625,-0.400000027,1,0,0,1.03276,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/807096_left.png,stimuli/lakes/807096_right.png,,,,0,28,28,96,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,-0.097222199,-0.284259283,1,0,0,1.116235,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/605066_left.png,stimuli/lakes/605066_right.png,,,,0,29,29,66,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.009259286,-0.258333356,1,0,0,1.133755,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/406074_left.png,stimuli/lakes/406074_right.png,,,,0,30,30,74,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.152777809,-0.42222225,1,0,0,0.983795,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30101_left.png,stimuli/lakes/30101_right.png,,,,0,31,31,1,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.133333364,-0.325925951,1,0,0,1.082705,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104041_left.png,stimuli/lakes/104041_right.png,,,,0,32,32,41,1,,,,,
,,,,,,,$5ea70b0537c5170b90ece8ac,2020-07-13_10h35.47.825,fisher_task,2020.1.3,Win32,60,0.142592623,-0.33055558,1,0,0,0.982915,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/204042_left.png,stimuli/lakes/204042_right.png,,,,0,33,33,42,1,,,,,
