keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.153917411,-0.361220238,1,0,0,8.84662,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.158154762,-0.383005952,1,0,0,5.14156,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.153649554,-0.388675595,1,0,0,2.58008,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.122756696,-0.301971726,1,0,0,3.215105,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.039196429,-0.271387649,1,0,0,6.946555,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.13155878,-0.426227679,1,0,0,2.076555,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.149043899,-0.416138393,1,0,0,1.562905,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.158292411,-0.430029762,1,0,0,2.653665,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.155130208,-0.386595982,1,0,0,4.144,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.164482887,-0.422161458,1,0,0,1.41859,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.158783482,-0.43188244,1,0,0,1.191575,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.160915179,-0.402987351,1,0,0,1.765855,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/8080118_left.png,stimuli/lakes/8080118_right.png,space,4.1481,,0,0,0,118,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.140502232,-0.331856399,1,0,0,10.09369,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/2080108_left.png,stimuli/lakes/2080108_right.png,,,,0,1,1,108,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.090018601,-0.293247768,1,0,0,5.45111,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70107_left.png,stimuli/lakes/70107_right.png,,,,0,2,2,7,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.095126488,-0.302566964,1,0,0,4.96696,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704047_left.png,stimuli/lakes/704047_right.png,,,,0,3,3,47,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.154345238,-0.379025298,1,0,0,1.87154,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5080113_left.png,stimuli/lakes/5080113_right.png,,,,0,4,4,113,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.163779762,-0.425438988,1,0,0,1.46893,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7090129_left.png,stimuli/lakes/7090129_right.png,,,,0,5,5,129,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.042247024,-0.245078125,1,0,0,2.478235,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/207090_left.png,stimuli/lakes/207090_right.png,,,,0,6,6,90,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.152641369,-0.35000744,1,0,0,3.987485,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090123_left.png,stimuli/lakes/4090123_right.png,,,,0,7,7,123,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.109944196,-0.300587798,1,0,0,3.13554,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3080109_left.png,stimuli/lakes/3080109_right.png,,,,0,8,8,109,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.064103423,-0.267697173,1,0,0,3.49575,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/605065_left.png,stimuli/lakes/605065_right.png,,,,0,9,9,65,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.141901042,-0.354959077,1,0,0,4.34897,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080115_left.png,stimuli/lakes/6080115_right.png,,,,0,10,10,115,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.153571429,-0.378355655,1,0,0,1.803555,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/5070102_left.png,stimuli/lakes/5070102_right.png,,,,0,11,11,102,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.034151786,-0.251930804,1,0,0,2.384295,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/903040_left.png,stimuli/lakes/903040_right.png,,,,0,12,12,40,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.13594494,-0.329880952,1,0,0,1.58078,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6070103_left.png,stimuli/lakes/6070103_right.png,,,,0,13,13,103,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.019185268,-0.248761161,1,0,0,5.56223,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/703029_left.png,stimuli/lakes/703029_right.png,,,,0,14,14,29,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.085431548,-0.258690476,1,0,0,2.087895,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4080111_left.png,stimuli/lakes/4080111_right.png,,,,0,15,15,111,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.047299107,-0.245360863,1,0,0,2.05207,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/106080_left.png,stimuli/lakes/106080_right.png,,,,0,16,16,80,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.023106399,-0.245792411,1,0,0,2.696695,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/206072_left.png,stimuli/lakes/206072_right.png,,,,0,17,17,72,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.123690476,-0.288779762,1,0,0,3.76403,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/507093_left.png,stimuli/lakes/507093_right.png,,,,0,18,18,93,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.148954613,-0.376127232,1,0,0,1.467945,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/203033_left.png,stimuli/lakes/203033_right.png,,,,0,19,19,33,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.048452381,-0.255059524,1,0,0,7.20631,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/901010_left.png,stimuli/lakes/901010_right.png,,,,0,20,20,10,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.073091518,-0.275613839,1,0,0,3.06965,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/602017_left.png,stimuli/lakes/602017_right.png,,,,0,21,21,17,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.096852679,-0.301741071,1,0,0,2.36897,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/203024_left.png,stimuli/lakes/203024_right.png,,,space,0,22,22,24,1,3.39736,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.165186012,-0.407875744,1,0,0,1.736545,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7080117_left.png,stimuli/lakes/7080117_right.png,,,,0,23,23,117,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.162150298,-0.41890997,1,0,0,1.22482,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/302012_left.png,stimuli/lakes/302012_right.png,,,,0,24,24,12,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.148318452,-0.328627232,1,0,0,1.47279,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/307091_left.png,stimuli/lakes/307091_right.png,,,,0,25,25,91,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.078325893,-0.269356399,1,0,0,1.675205,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306082_left.png,stimuli/lakes/306082_right.png,,,,0,26,26,82,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.143322173,-0.398098958,1,0,0,1.61344,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402014_left.png,stimuli/lakes/402014_right.png,,,,0,27,27,14,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.156011905,-0.398690476,1,0,0,2.062645,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104041_left.png,stimuli/lakes/104041_right.png,,,,0,28,28,41,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.093709077,-0.287012649,1,0,0,1.345055,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/403026_left.png,stimuli/lakes/403026_right.png,,,,0,29,29,26,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.144866071,-0.346573661,1,0,0,2.02916,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/904058_left.png,stimuli/lakes/904058_right.png,,,,0,30,30,58,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.109962798,-0.314092262,1,0,0,1.77394,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/404044_left.png,stimuli/lakes/404044_right.png,,,,0,31,31,44,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.138705357,-0.356930804,1,0,0,1.37701,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/106071_left.png,stimuli/lakes/106071_right.png,,,,0,32,32,71,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.160680804,-0.418928571,1,0,0,1.275295,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/30100_left.png,stimuli/lakes/30100_right.png,,,,0,33,33,0,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.153180804,-0.420018601,1,0,0,2.944355,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/50104_left.png,stimuli/lakes/50104_right.png,,,,0,34,34,4,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.133463542,-0.32640997,1,0,0,2.60815,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6080114_left.png,stimuli/lakes/6080114_right.png,,,,0,35,35,114,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,0.115993304,-0.317797619,1,0,0,4.861515,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/204042_left.png,stimuli/lakes/204042_right.png,,,,0,36,36,42,1,,,,,
,,,,,,$5ec259bf5450f10288c82f75,2020-07-21_16h13.06.887,fisher_task,2020.1.3,MacIntel,60,-0.16171503,-0.41937872,1,0,0,1.39673,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/6090126_left.png,stimuli/lakes/6090126_right.png,,,,0,37,37,126,1,,,,,
