keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.177083333,-0.389322917,1,0,0,2.48232,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.17578125,-0.380208333,1,0,0,1.81621,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.161458333,-0.384114583,1,0,0,2.215915,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.104166667,-0.2890625,1,0,0,1.83263,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0,-0.260416667,1,0,0,1.76595,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.177083333,-0.430989583,1,0,0,1.43272,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.174479167,-0.416666667,1,0,0,1.849225,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.157552083,-0.37109375,1,0,0,1.30029,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.151041667,-0.361979167,1,0,0,1.09922,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.166666667,-0.438802083,1,0,0,1.165995,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.180989583,-0.440104167,1,0,0,1.099835,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.169270833,-0.385416667,1,0,0,2.632435,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/404044_left.png,stimuli/lakes/404044_right.png,space,5.123525,,0,0,0,44,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.100260417,-0.282552083,1,0,0,3.7817,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/904049_left.png,stimuli/lakes/904049_right.png,,,,0,1,1,49,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.165364583,-0.40625,1,0,0,1.382705,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/807096_left.png,stimuli/lakes/807096_right.png,,,,0,2,2,96,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.118489583,-0.33984375,1,0,0,2.14879,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306073_left.png,stimuli/lakes/306073_right.png,,,,0,3,3,73,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.166666667,-0.373697917,1,0,0,1.516055,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/304052_left.png,stimuli/lakes/304052_right.png,,,,0,4,4,52,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.194010417,-0.44921875,1,0,0,1.64882,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7090128_left.png,stimuli/lakes/7090128_right.png,,,,0,5,5,128,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.135416667,-0.319010417,1,0,0,1.616,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4070101_left.png,stimuli/lakes/4070101_right.png,,,,0,6,6,101,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.138020833,-0.33203125,1,0,0,1.3827,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104041_left.png,stimuli/lakes/104041_right.png,,,,0,7,7,41,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.1171875,-0.302083333,1,0,0,3.065665,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/107098_left.png,stimuli/lakes/107098_right.png,,,,0,8,8,98,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.122395833,-0.302083333,1,0,0,1.24941,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/703029_left.png,stimuli/lakes/703029_right.png,,,,0,9,9,29,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,0.17578125,-0.427083333,1,0,0,1.366025,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/302013_left.png,stimuli/lakes/302013_right.png,,,,0,10,10,13,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.138020833,-0.350260417,1,0,0,1.59934,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704056_left.png,stimuli/lakes/704056_right.png,,,,0,11,11,56,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.158854167,-0.399739583,1,0,0,1.53265,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705067_left.png,stimuli/lakes/705067_right.png,,,,0,12,12,67,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.100260417,-0.302083333,1,0,0,2.215795,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3080110_left.png,stimuli/lakes/3080110_right.png,,,,0,13,13,110,1,,,,,
,,,,,,$5eeb40c601b1dc2907bbff74,2020-07-20_15h42.24.277,fisher_task,2020.1.3,Win32,60,-0.14453125,-0.342447917,1,0,0,2.66504,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/207090_left.png,stimuli/lakes/207090_right.png,,,,0,14,14,90,1,,,,,
