keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
space,3.199075,0,0,0,0,1,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,1,0,1,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.13953125,-0.328537326,1,0,0,2.4666,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.097881944,-0.335967882,1,0,0,2.632205,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.151692708,-0.372560764,1,0,0,2.281285,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.094240451,-0.304357639,1,0,0,3.88259,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.138424479,-0.343606771,1,0,0,3.250175,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.166432292,-0.419079861,1,0,0,1.61579,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.146119792,-0.388550347,1,0,0,1.69919,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.149822049,-0.418016493,1,0,0,1.965235,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.145789931,-0.395286458,1,0,0,1.481735,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.14749566,-0.372313368,1,0,0,1.68375,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.150868056,-0.415924479,1,0,0,1.632925,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.050798611,-0.258385417,1,0,0,3.484295,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/604046_left.png,stimuli/lakes/604046_right.png,space,4.5781,,0,0,0,46,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.0146875,-0.266692708,1,0,0,4.31526,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/406074_left.png,stimuli/lakes/406074_right.png,,,,0,1,1,74,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.135590278,-0.329769965,1,0,0,1.73237,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/602018_left.png,stimuli/lakes/602018_right.png,,,,0,2,2,18,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.115225694,-0.331184896,1,0,0,2.13168,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3080110_left.png,stimuli/lakes/3080110_right.png,,,,0,3,3,110,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.145221354,-0.330394965,1,0,0,3.06767,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/702019_left.png,stimuli/lakes/702019_right.png,,,,0,4,4,19,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.122786458,-0.315095486,1,0,0,2.614805,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/80109_left.png,stimuli/lakes/80109_right.png,,,,0,5,5,9,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.081779514,-0.288229167,1,0,0,3.199485,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305061_left.png,stimuli/lakes/305061_right.png,,,,0,6,6,61,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.125859375,-0.324804688,1,0,0,1.649195,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/305062_left.png,stimuli/lakes/305062_right.png,,,,0,7,7,62,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,0.135195312,-0.361553819,1,0,0,2.582315,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/60106_left.png,stimuli/lakes/60106_right.png,,,,0,8,8,6,1,,,,,
,,,,,,,$5eec938151049a02f5206d64,2020-07-21_16h11.16.060,fisher_task,2020.1.3,MacIntel,60,-0.107777778,-0.316015625,1,0,0,1.650715,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090123_left.png,stimuli/lakes/4090123_right.png,,,,0,9,9,123,1,,,,,
