keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,0,0,0,0,1,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.006510417,-0.25,1,0,0,3.45208,scale,0,0,0,0,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.118489583,-0.307291667,1,0,0,3.3691,scale,0,1,1,1,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.173177083,-0.4140625,1,0,0,4.169265,scale,0,2,2,2,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.170572917,-0.411458333,1,0,0,3.134925,scale,0,3,3,3,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.05078125,-0.244791667,1,0,0,4.41872,scale,0,4,4,4,1,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/training/50_left.png,stimuli/training/50_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.170572917,-0.390625,1,0,0,2.95195,scale,0,5,5,5,1,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/training/20_left.png,stimuli/training/20_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.188802083,-0.424479167,1,0,0,2.417725,scale,0,6,6,6,1,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/training/80_left.png,stimuli/training/80_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.170572917,-0.377604167,1,0,0,1.31664,scale,0,7,7,7,1,0.1234,0.1,0.3702,0.3,stimuli/training/30_left.png,stimuli/training/30_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.149739583,-0.34375,1,0,0,1.35072,scale,0,8,8,8,1,0.3702,0.3,0.1234,0.1,stimuli/training/70_left.png,stimuli/training/70_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.178385417,-0.401041667,1,0,0,1.41711,scale,0,9,9,9,1,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/training/90_left.png,stimuli/training/90_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.18359375,-0.403645833,1,0,0,1.650685,scale,0,10,10,10,1,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/training/10_left.png,stimuli/training/10_right.png,,,,,,,,,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.100260417,-0.260416667,1,0,0,2.951725,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/60106_left.png,stimuli/lakes/60106_right.png,space,11.56179,,0,0,0,6,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.108072917,-0.28125,1,0,0,2.984705,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4070101_left.png,stimuli/lakes/4070101_right.png,,,,0,1,1,101,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.11328125,-0.276041667,1,0,0,3.852155,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/504045_left.png,stimuli/lakes/504045_right.png,,,,0,2,2,45,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.170572917,-0.3671875,1,0,0,2.501105,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/7070104_left.png,stimuli/lakes/7070104_right.png,,,,0,3,3,104,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.10546875,-0.263020833,1,0,0,5.06964,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090123_left.png,stimuli/lakes/4090123_right.png,,,,0,4,4,123,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.19140625,-0.401041667,1,0,0,2.634835,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/40102_left.png,stimuli/lakes/40102_right.png,,,,0,5,5,2,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.178385417,-0.395833333,1,0,0,1.91144,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402015_left.png,stimuli/lakes/402015_right.png,,,,0,6,6,15,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,0.084635417,-0.263020833,1,0,0,5.986805,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/3090121_left.png,stimuli/lakes/3090121_right.png,,,,0,7,7,121,1,,,,,
,,,,,,$5ebc4b98ea22c808030a6665,2020-07-21_16h39.54.843,fisher_task,2020.1.3,Win32,60,-0.134114583,-0.40625,1,0,0,5.01971,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/705068_left.png,stimuli/lakes/705068_right.png,,,,0,8,8,68,1,,,,,
